P,Wonderful app.
P,I love it.
P,Very Reliable foto app.
P,Coolest ever.
P,Loved it!!
E,Very useful...
P,Love.
P,Love it much.
N,this apps meets everyones need especially in beautifying pictures.
N,hope to have more effects.
P,"I like this app, but making my phone was slow."
N,"And then, I uninstalled this."
E,Great little app makes regular pictures stand out.
P,Awesome....
P,Best camera.
P,Good.
N,My selfie in cam.
N,Five stars.
P,Good app.
P,I like it.
N,Try it for better shots.
P,Good.
E,Very good effects.
P,I love this app...
N,Helps alot with blemish problems.
N,Camera.
P,Awesome!
E,New version...its great!!!!
P,Like it.
P,Its good.
N,Jempol.
P,i dont like it.
N,my mobile is samsung galaxy young s5-360.
E,some effects just doesnt work.
B,please fix this and ill give 5 stars.
N,Ganda.
P,Good app.
P,Love it!!!
N,Nii??ce.
P,Good job....
P,Good.
P,I like.
P,Good.
N,It won't open.
E,Can't not save the picture.
B,please fix it...
P,Awesome.
N,Asololey lah pokoke.
B,Awsm app.....best of d lot....great effects...but please fix red eye.
N,Thanks for this app.
P,Good.
N,Kenapa fail t.
P,That so good.
P,Cool.
P,Excellent........I love it!
P,love it!!!!
N,Like this.
N,Been using this for quiet sometime now and it really works great for me.
N,Thanks!
N,Makes my photos incredibly wonderful!
N,No comments.
N,Always hang up when i used .
B,Please fix it.
P,Its an awesome camera experience....
N,My comments like Samsung Galaxy S2.
P,SUPER camera retrica I LOVE THIS CAMERA !!!!!!!!!!
E,Slow on 2.3 version of android.
P,Just great app.
P,Like it.
E,excellent.
N,Wala.
P,Love it.
P,Samsung tab 3 Really nice i like this camera.
P,Nice apps.
N,Please everyone try this...
E,nic cam...its work...selfie is good option.
P,love it.
P,Good.
E,It show good result.
P,good app.
P,For me very good.
N,Bau.
P,Good.
N,cam.
P,Nice.
P,Awesom.
N,That's all.
P,Love it.
E,Beautiful.
N,Kazungu adam.
N,I hate it.
P,I just love this app.
P,I love it.
N,No words to say.
N,I like but not installed my phone device.
N,All that is missing is the cartoon effect.
N,Need that ASAP!!!
P,Liked it.
N,It lags when I am going to take a picture.
B,Please fix.
P,I just love this app.....
N,Camera.
P,Good.
N,Its really good high quality.
N,Its.
N,Nice one.
P,Love love.
N,It is very complete app for editing.
N,Try it.
N,yeahh!
P,Good.
B,"I just uninstalled this, the effect does not working and what it did was crashing my picture and i cant see my face!"
B,Fix this please.
P,Great apps....loved it.
N,"Really nice app, wish they come up with the real dual camera capture."
P,Nice app!!
P,Nice application......
P,Awesome.
N,360camera.
P,Erritable.
P,Coolest app ever.
P,I love it so much.
P,looking great!
N,i cant say anything :).
P,I like this sof because it lik e to be real.
N,wow.
P,I love this app but too many times I have to upgrade this anyway this is awesome :&gt;.
N,To cloudy.
N,I luv this app so much!!!
N,wow.
P,Nice apss.
P,Back to love u ....
P,Perfect can!
N,Qty.
N,Sip sip sip.
P,Great app.
E,This is still better compared to my default cam even without the effects and options.
N,Problem is it makes a copy of the original photo even if it's just basic settings.
N,It forces me to delete the copy of all the pictures.
N,Really tiring if you've taken alot of pics.
P,Best.
N,"why my camera360 always say submit.and i didnt use it,."
B,hope fix it.then i wil give 5 star.thank u.
P,I like to capture on this camera.
E,Really love this app cause it's easy-operated & the results are always nice :).
P,Good.
P,Very good.
P,Best.
N,Save your moment with360.
E,Very slow app.
N,ok.
P,I like this application.
R,I don't need to do make up just choose which type do you like to use to make you more beautiful and charming :).
N,Camera 360.
P,Best100%.
N,Luv.
E,Excellent.
N,I just try it...
P,This app is so awesome !!!
N,Borhiya dei.
P,Love it love it share it.
N,Need more feature...
P,"No more comment, this is the best Camera App for android platforms..."
N,I hope u to get this app.
P,Best.
E,Great to photo edit and filtering.
N,But it is always running in background.
N,It may spy on us.
R,It could take a photo record a sound without notice.
P,so nice.
N,Camera360.
N,Even im using the write android it wont install so i hated this app.
N,Lop.
B,given 5 star supPoseDly but it crashes sometimes.
N,"but stil,this is a nice apP."
N,;).
P,Great app.
P,This lovely.
P,Love it!
N,This is nice.
N,Yo.
P,Love this application.
E,With Great Effects.
P,So nice.
P,Like.
P,Awesome.
P,I like this camera because i can edit my face and background.
N,Camera 360.
P,Nice.
P,wow Amazing .
P,nic.
P,I like it.
P,Loved it.
P,Goodj.
E,Wowy bt nt full at least.
P,i really love this apps.
E,so many options and i am satisfied about it.
P,Just love it...
P,Wonderful.
N,Good one.
P,love ya~.
P,I luv dis app...best app eva...thnx guys...great job.
P,Cool app.
P,This is the best application for pics I really loved it and will give five stars.
E,I love this app with the different effects also a good a camera.
P,Love the app.
N,Not bad.
P,Too good...must have.
P,Best...
P,Great.
P,Love this app :*.
P,Love.
P,Love it.
P,great work so i give 5*.
P,Nice app.
N,I can desingn my photos.
P,Awesome.
E,Very good to use.
P,Love it.
P,Nice camera.
P,Loved it!
P,Best Photo App Ever!?
P,Great.
N,Not bad.
N,Batch 99.
P,Its cool.....
P,Great apps lOve it so perfect!
N,This app is my camera.
N,I hav stopped using the actual camera.
E,Sometimes it slow.
P,I love this app....
N,Error for my androir loading.
P,Awesome.
N,Kashem.
N,I give 5 stars.
P,So cool.
P,I just love this app cuz is keeping my phone safe.
E,It's beautiful application...
B,It says that there's an error in downloading.
N,can the creator help me with this?
N,thank u..
B,Its awesome its easy to used but its not working today please fixed it.
P,Coool.
N,Axis app.
N,No comment.
P,Good.
P,Awesome.....
P,i loved it evry time i used it.
N,Dont expect much.
N,Oooo.
P,The best camra.
P,Love it.
P,Nice oo.
N,Selfie.
N,Nice to have it.
N,Older version is better...
E,Just add more effects and scenes in one download only.
E,This app soo useful .
P,I have rated 5 because this is best camera app in the world.
E,I really like it...very simple how to make your beautiful photography.
N,i like ths aplication so much.u cn get a better picture with ths camera 360 thumbs up.
N,Fine :).
P,Greatttttttttttt.
N,Str8 up.
E,I just love all the options!
P,I really like this app!!
P,its so cool!!
P,Great app ?
P,I love this app but i cant upload it on my phone...
N,Javierflores819.
P,Good.
P,Ilovethis app ???
N,Aku malih ganteng :$.
P,I really love this app.
P,I like.
P,Good clarity with best function.
N,nice cam!!
P,Really like this camera....
N,Hidup.
P,Love it.
N,This is a great apps use to capture memorable happenings in life with a twist.
N,bgus.
N,GANG.
N,I regret loosong the time on this app that does not worth it at all.
P,I jus luv it......
E,"Recommended by friends, easy to use, love it."
N,Hate it.
N,I can't download.
P,love this application very cool features and all free!
P,Love and family.
P,nice.
P,Good.
N,The camera is inverted and it is not suited to my phablet.
P,Good.
P,Nice.
P,I love it.
P,Best.
P,Unique.
N,5*.
P,Nice app.
P,I like it.
N,I can't install it!
B,Please fix it!
R,Need to add more effects.
P,Im speechless.
N,Luv it...gud job....
B,It Is A VeryGood App But Can Someone please tell me how to get the cartoon one ?
P,Nice.
P,so amazing camera .
P,i like it ...
P,Nice.
N,360 camera.
P,Camera360 so amazing!!
P,like this app.
N,Baekk.
P,Goodjob.
N,So much!!!!
N,Camera.
P,It's cool.
N,"+91 99981 ,18455."
P,Nice app.
E,Very good effects.
P,Love it!
P,Nice.
N,More than my imagine .
P,I like thiss !
P,Love it.
N,His.
P,Awesome ....  :))))).
N,Cant download.
P,Love it.
P,Its like in aplication.
P,Good.
N,Nakakainis ayaw ma download Nito!
P,Wel its a cool app though...but its not d best.
N,Realy ultimate.
N,The power of ulzzang :'v.
P,I love it so much; ).
P,Great.
N,Camera 360 shutting down.
P,I like this :).
N,I cant stall...
P,Lovelovelove&lt;3.
N,Suggest by a friend looking forward how this app gonna work n what spacial has this app...
P,I liked very much.
P,Nice.
P,Best app ever.
N,More than all.
P,Nice.
N,Thanks.
N,I can't install it.
P,Loved it.
E,Great camera app easy to use and alot of fillers.
N,"Liked it, but also can try camera fx zoom free, much better."
N,Luv it but why i cant install it...
P,awsome.
N,It's ok for me.
E,It's beautiful but some filter is not working...
E,Excellent pictures.
P,Love this apps.
N,Dku sya mainstall.
N,Ozm.
P,Nice...
P,It's good.
N,just so they wont ask me.
P,Love it.
N,W.
P,Nice app.
P,Nice apps and good working.
P,Great!!!
P,Thats good.
N,Pictures I take are aligned in a somewhat messed up way.
B,You need to fix this asap.
N,????
P,Goood.
P,Cool.
N,keren.
P,love this app.
N,Hello Uolls?
P,I love this.
N,"What a camera, first class."
P,i love it.
N,So hot camera 360.
N,:))).
P,Best apps ever....keep the best work...
N,It's okay!
P,Awesome.
P,good.
P,Nice.
P,Love it.
P,Wow like it.
P,Love it!
N,Not bad.
E,Laggy camera.
N,Nice great job keep it up.
P,Good.
N,Ok.
E,Please allow us to save pictures on external storage.
P,Great.
N,Dararas.
N,Wuapik tenan.
N,No video cam?
P,Nice.
P,Its  good.
P,Its very good.
N,Good one.
P,love.
P,I like it so much.
E,Special effect.
P,Nice....app.
R,ONE THING: PLEASE MAKE AN EFFECT THAT HAS THE ID PICTYRE SETTINGS AND ADJUSTMENTS THAT CAN BE TAKEN ON THE FRONT CAM BC THAT WOULD BE VERY AMAZING SO WE CAN TAKE CLEARER AND WHITER SELFIES!
B,PLEASE PLEASE YALL WILL DESERVE 10 STAR THEN ;).
N,Testing.
P,Amazing!
N,Keren.
P,One of the best for Android.
N,"I'm satisfied with this apps,,,."
N,O.
P,Good application.
P,I like this apps.so much.
P,Love this!!
P,Love it....
N,So lame.
P,Bad.
N,Freak.
P,Goodd.
P,Best app u can find...love the variety of filters...I am so obsessed with it...I deeply recommend it.
P,good.
N,Can't install .
E,beautiful.
P,"Its a such a great and funny app,you can edit your face like a big nosed face."
P,Haha gonna love itt.
E,It is hard to use now compared from last version.
B,Please fix some errors then I will give you 5 stars.
P,Its a perfect apps ever...its perfect for a photo effect lovers.
N,I cannot install this app !
N,pls.
N,Fix .
B,Loved d effects but sad part when it crashes... :-/.
N,nice app but its not entry my phone.
P,Its a cool app.
P,"tis a AMAZING image editor  wat medical miracle i love it tiz app ,i give5?????."
N,Trend Anak jaman sekarang katanya yg pake camera 360 anak alay -_-.
P,Awesome.
N,Camera 360 it's Ok.
P,Amazing!!
P,I just love it!
N,Try to get this app.
P,Nice.
P,Good.
B,Many many times this app make my note 8.0 crash and reboot / fix this please.
N,ps.
N,my device run with 4.2.2 now.
N,Square.
E,Excellent.
P,Good for we all.
E,Super smooth and very useful.
N,Goid.
N,jnm.
P,Good.
N,sana mag install!
N,Hahahaha:-).
E,Super camera effective.
N,Hohohoho....
P,Best photo application.
P,super luv it....
N,X paka mnde gnim ...aq download x jadi.
N,Top.
N,K.
E,Very nice picture.
P,nice app.
P,Poor front cam quality.
N,Ok.
P,Loved it.
P,Great...i'm very love love love it!!!!
P,Loved it.
P,Its super good.
E,Excellent.
P,Great!!!
P,great.
B,Koothara app aanu...crashes in my phone....
N,Picture enhancer.
P,Nice app.
P,Good.
P,Awesome.
