,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
16,spray tool,spray tool,similar,0.999999881,similar
7,paste tool,paste a part,similar,0.853009284,similar
8,paste tool,paste images,similar,0.834279478,similar
5,image file size editing,image editing,similar,0.81421864,similar
3,image file size editing,editing large images,similar,0.79774797,similar
1,paste tool,copy paste,similar,0.762479126,similar
2611,correct user intended position tools,liked line tool,different,0.724468827,similar
2,copy paste symbols stamp tool selection application,copy paste,similar,0.699113488,different
0,dynamic color scheme,colour shades,similar,0.688447416,different
34,dynamic color scheme,applying a color,different,0.682336628,different
1050,correct user intended position tools,correct point,different,0.667994797,different
30,dynamic color scheme,color grid,different,0.665132284,different
29,dynamic color scheme,add more colour,different,0.65545702,different
1695,dynamic color scheme,fill color,different,0.654947162,different
2368,correct user intended position tools,intuitive layout,different,0.654564559,different
1001,save temporary copies automatically,copy paste,different,0.651760638,different
4063,dynamic color scheme,reflect chosen colour,different,0.635153532,different
3715,save temporary copies automatically,paste images,different,0.632304013,different
3631,image file size editing,output resolution,different,0.629990697,different
4198,paste tool,resize tool,different,0.625636876,different
815,dynamic color scheme,color drawings,different,0.623903751,different
1538,paste tool,edit small things,different,0.6182338,different
2180,correct user intended position tools,good work,different,0.617614627,different
27,dynamic color scheme,select transparent on colors,different,0.616423786,different
1078,dynamic color scheme,create graphics,different,0.60764271,different
12,confirm tool application selecting tool,selection tool,similar,0.602164268,different
19,auto crop icon,crop images,different,0.599257648,different
3643,spray tool,paint bucket,different,0.59558177,different
838,reuse drawingsurface pipette activity,color fill tool,different,0.59450388,different
1508,dynamic color scheme,dynamic brushes,different,0.593293726,different
2558,dynamic color scheme,like paint,different,0.586901903,different
920,dynamic color scheme,colour fill option,different,0.585149884,different
24,image file size editing,resize pictures,similar,0.583147883,different
13,hint change default settings tools,settings option,similar,0.582787216,different
2285,image file size editing,image edition,different,0.581853628,different
139,reuse drawingsurface pipette activity,add pen tool,different,0.579462767,different
413,paste tool,basic animation package,different,0.573763728,different
4274,correct user intended position tools,respect landscape orientation,different,0.573109269,different
5222,hint change default settings tools,user interface,different,0.57041502,different
4008,dynamic color scheme,quite complex picture,different,0.568040192,different
4221,correct user intended position tools,resize tool,different,0.567582428,different
4213,confirm tool application selecting tool,resize tool,different,0.566369653,different
3055,copy paste symbols stamp tool selection application,marking options,different,0.565856338,different
4204,spray tool,resize tool,different,0.563416719,different
17,dynamic color scheme,color fill tool,different,0.562809467,different
2662,reuse drawingsurface pipette activity,line tools,different,0.562527061,different
4169,dynamic color scheme,resize picture,different,0.562017202,different
2688,image file size editing,load photos,different,0.56133914,different
488,image file size editing,blur tool,different,0.56106627,different
4146,paste tool,resize picture,different,0.559244394,different
10,image file size editing,resizing entire image,similar,0.558936954,different
3736,image file size editing,paste images,different,0.556541741,different
1075,image file size editing,create graphics,different,0.555824459,different
4218,reuse drawingsurface pipette activity,resize tool,different,0.554225147,different
2665,correct user intended position tools,line tools,different,0.551225245,different
3690,save temporary copies automatically,paste a part,different,0.550617874,different
9,image file size editing,resize picture,similar,0.550481439,different
839,image file size editing,color fill tool,different,0.550135374,different
710,paste tool,clone tool,different,0.547776639,different
1490,spray tool,dynamic brushes,different,0.543186128,different
2657,confirm tool application selecting tool,line tools,different,0.542050779,different
467,paste tool,blur tool,different,0.541571736,different
4328,correct user intended position tools,satisfy my experience,different,0.541223466,different
463,correct user intended position tools,basic components,different,0.539017558,different
2642,paste tool,line tools,different,0.537773013,different
1105,dynamic color scheme,create pictures,different,0.537194133,different
1537,save temporary copies automatically,edit small things,different,0.536817908,different
818,paste tool,color fill tool,different,0.534969687,different
1745,reuse drawingsurface pipette activity,fill tools,different,0.53455019,different
4214,center button transform tool,resize tool,different,0.534145653,different
824,spray tool,color fill tool,different,0.534015894,different
3365,dynamic color scheme,ms paint,different,0.533994436,different
125,spray tool,add pen tool,different,0.533209205,different
1054,paste tool,create graphics,different,0.532870352,different
5228,confirm tool application selecting tool,user interface,different,0.532768905,different
4971,paste tool,text outline,different,0.532252312,different
5231,github crowdin integration,user interface,different,0.530750394,different
119,paste tool,add pen tool,different,0.529419899,different
205,spray tool,air brush,different,0.529192865,different
2951,confirm tool application selecting tool,main issue tools,different,0.528957546,different
2714,image file size editing,load pictures,different,0.528866768,different
1430,paste tool,drawing tools like brush,different,0.527799368,different
2238,paste tool,image editing,different,0.52744931,different
1821,confirm tool application selecting tool,find a place,different,0.523506701,different
1117,hint change default settings tools,creating a option,different,0.522953928,different
1718,reuse drawingsurface pipette activity,fill tool fills,different,0.522932231,different
31,dynamic color scheme,color picker,different,0.522655547,different
5217,share feature,user interface,different,0.52169311,different
1511,paste tool,edit photos of gacha,different,0.520772934,different
4,export,export my pictures,similar,0.519227624,different
1210,correct user intended position tools,curve tool,different,0.518036783,different
14,image file size editing,shrinks image size,similar,0.518035293,different
18,auto crop icon,crop edge,different,0.51798135,different
3714,close transform tool options clicking apply,paste images,different,0.517045796,different
3726,copy paste symbols stamp tool selection application,paste images,different,0.516602099,different
1312,fastlane support huawei store,device folder,different,0.516162336,different
23,copy paste symbols stamp tool selection application,paste a part,similar,0.515463293,different
3230,dynamic color scheme,more shapes,different,0.514879644,different
1740,confirm tool application selecting tool,fill tools,different,0.514571428,different
3311,dynamic color scheme,move image,different,0.514493763,different
4172,paste tool,resize pictures,different,0.51414603,different
2959,correct user intended position tools,main issue tools,different,0.513370275,different
4644,correct user intended position tools,simple area selection,different,0.511537552,different
834,center button transform tool,color fill tool,different,0.511333406,different
339,spray tool,applying transparency,different,0.510271549,different
4195,dynamic color scheme,resize pictures,different,0.509444654,different
996,image file size editing,converting photos from mb,different,0.508588552,different
4547,share feature,settings option,different,0.508420944,different
1081,paste tool,create pictures,different,0.507790864,different
881,copy paste symbols stamp tool selection application,color picker,different,0.507560253,different
1396,reuse drawingsurface pipette activity,draw some lines,different,0.506858647,different
1536,close transform tool options clicking apply,edit small things,different,0.506555319,different
5399,dynamic color scheme,zooming capabilities,different,0.505431831,different
703,reuse drawingsurface pipette activity,circle tools,different,0.503611505,different
5262,upload mapping jenkins release builds,version ads,different,0.503267288,different
3040,correct user intended position tools,many tools,different,0.50313741,different
5068,center button transform tool,toggle move option,different,0.502824843,different
1668,dynamic color scheme,favourite colours,different,0.502201319,different
3603,reuse drawingsurface pipette activity,outline an addition,different,0.501877785,different
721,copy paste symbols stamp tool selection application,clone tool,different,0.501476407,different
3341,paste tool,ms paint,different,0.500664651,different
4225,paste tool,resizing entire image,different,0.499788463,different
1123,confirm tool application selecting tool,creating a option,different,0.499603838,different
1102,image file size editing,create pictures,different,0.499285698,different
